month_y,TotalUserCount,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808
201702,1630,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201703,2508,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201704,2274,,,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201705,3478,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201706,3076,,,,,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201707,3802,,,,,,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201708,4114,,,,,,,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201709,4082,,,,,,,,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201710,4417,,,,,,,,,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201711,7182,,,,,,,,,,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201712,5450,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201801,6974,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201802,6401,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
201803,6914,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0
201804,6744,,,,,,,,,,,,,,,1.0,0.01,0.0,0.0,0.0
201805,6693,,,,,,,,,,,,,,,,1.0,0.01,0.0,0.0
201806,6058,,,,,,,,,,,,,,,,,1.0,0.0,0.0
201807,6097,,,,,,,,,,,,,,,,,,1.0,0.01
201808,6310,,,,,,,,,,,,,,,,,,,1.0
